type,part,term,definition,pos
Normal,prefix,counter-,against,""
Normal,prefix,de-,"down, off, reversed",""
Normal,prefix,dia-,through,""
Normal,prefix,dis-,not,""
Normal,prefix,e-,"out of",""
Normal,prefix,en-,"put into, cover",""
Normal,prefix,ex-,"out of, from",""
Normal,prefix,equi-,equal,""
Normal,prefix,extra-,"above, outside",""
Normal,prefix,hetero-,different,""
Normal,prefix,homo-,same,""
Normal,prefix,hyper-,over,""
Normal,prefix,il-,not,""
Normal,prefix,im-,not,""
Normal,prefix,in-,"in or not",""
Normal,prefix,intra-,within,""
Normal,prefix,inter-,"between or among",""
Normal,prefix,ir-,not,""
Normal,prefix,magni-,large,""
Normal,prefix,micro-,small,""
Normal,prefix,mis-,wrong,""
Normal,prefix,mono-,one,""
Normal,prefix,multi-,many,""
Normal,prefix,neo-,new,""
Normal,prefix,non-,not,""
Normal,prefix,ob-,against,""
Normal,prefix,over-,"too much",""
Normal,prefix,pan-,all,""
Normal,prefix,per-,through,""
Normal,prefix,peri-,around,""
Normal,prefix,poly-,many,""
Normal,prefix,post-,after,""
Normal,prefix,pre-,before,""
Normal,prefix,pro-,forward,""
Normal,prefix,pseudo-,false,""
Normal,prefix,re-,"again or back",""
Normal,prefix,retro-,backward,""
Normal,prefix,sub-,under,""
Normal,prefix,super-,over,""
Normal,prefix,sym-,"with or together",""
Normal,prefix,syn-,"with or together",""
Normal,prefix,trans-,across,""
Normal,prefix,un-,not,""
Normal,root,act,do,verb
Normal,root,aud,hear,verb
Normal,root,bene,good,adjective
Normal,root,bio,life,noun
Normal,root,chron,time,noun
Normal,root,cred,believe,verb
Normal,root,dict,say,verb
Normal,root,duc,lead,verb
Normal,root,fac,make,verb
Normal,root,form,shape,noun
Normal,root,graph,write,noun
Normal,root,ject,throw,verb
Normal,root,log,word,noun
Normal,root,mit,send,verb
Normal,root,mot,move,verb
Normal,root,ped,foot,noun
Normal,root,phon,sound,noun
Normal,root,port,carry,verb
Normal,root,rupt,break,verb
Normal,root,scrib,write,verb
Normal,root,spec,see,verb
Normal,root,struct,build,verb
Normal,root,terr,earth,noun
Normal,root,therm,heat,noun
Normal,root,tract,pull,verb
Normal,root,vac,empty,adjective
Normal,root,vid,see,verb
Normal,root,vis,see,verb
Normal,root,voc,call,verb
Normal,suffix,-able,"capable of",""
Normal,suffix,-ible,"capable of",""
Normal,suffix,-al,"relating to",""
Normal,suffix,-ial,"relating to",""
Normal,suffix,-an,"relating to",""
Normal,suffix,-ian,"relating to",""
Normal,suffix,-ant,performing,""
Normal,suffix,-ent,performing,""
Normal,suffix,-ary,"relating to",""
Normal,suffix,-ory,"relating to",""
Normal,suffix,-ate,make,""
Normal,suffix,-cy,"state of being",""
Normal,suffix,-dom,"state of being",""
Normal,suffix,-en,make,""
Normal,suffix,-ence,"state of being",""
Normal,suffix,-ance,"state of being",""
Normal,suffix,-er,"one who",""
Normal,suffix,-or,"one who",""
Normal,suffix,-escent,becoming,""
Normal,suffix,-fy,make,""
Normal,suffix,-hood,"state of being",""
Normal,suffix,-ic,"relating to",""
Normal,suffix,-ify,make,""
Normal,suffix,-ion,"act of",""
Normal,suffix,-tion,"act of",""
Normal,suffix,-sion,"act of",""
Normal,suffix,-ish,resembling,""
Normal,suffix,-ism,"belief in",""
Normal,suffix,-ist,"one who practices",""
Normal,suffix,-ity,"state of being",""
Normal,suffix,-ty,"state of being",""
Normal,suffix,-ive,"relating to",""
Normal,suffix,-ize,make,""
Normal,suffix,-less,without,""
Normal,suffix,-logy,"study of",""
Normal,suffix,-ly,"in the manner of",""
Normal,suffix,-ment,"action or process",""
Normal,suffix,-ness,"state of being",""
Normal,suffix,-ous,"full of",""
Normal,suffix,-eous,"full of",""
Normal,suffix,-ious,"full of",""
Normal,suffix,-ship,"state of being",""
Normal,suffix,-some,like,""
Normal,suffix,-tude,"state of being",""
Normal,suffix,-ward,"in the direction of",""
Normal,suffix,-y,"full of",""
Math,prefix,uni-,one,""
Math,prefix,mono-,one,""
Math,prefix,solo-,one,""
Math,prefix,bi-,two,""
Math,prefix,duo-,two,""
Math,prefix,tri-,three,""
Math,prefix,quadr-,four,""
Math,prefix,tetra-,four,""
Math,prefix,penta-,five,""
Math,prefix,hexa-,six,""
Math,prefix,hepta-,seven,""
Math,prefix,octo-,eight,""
Math,prefix,nona-,nine,""
Math,prefix,deca-,ten,""
Math,prefix,centi-,hundredth,""
Math,prefix,milli-,thousandth,""
Math,prefix,kilo-,thousand,""
Math,prefix,mega-,million,""
Math,prefix,giga-,billion,""
Math,prefix,tera-,trillion,""
Math,prefix,micro-,millionth,""
Math,prefix,nano-,billionth,""
Math,prefix,pico-,trillionth,""
Math,prefix,femto-,quadrillionth,""
Math,suffix,-gon,"shape with angles",""
Math,suffix,-metry,"measurement of",""
Math,suffix,-tion,"process of",""
Math,suffix,-hedron,"solid figure with faces",""
Math,root,equi,equal,adjective
Math,root,fract,break,verb
Math,root,geo,"earth (geometry)",noun
Math,root,graph,"write (graphing)",noun
Math,root,log,"reason (logic)",noun
Math,root,numer,number,noun
Math,root,poly,many,adjective
Math,root,stat,"stand (statistics)",noun
Math,root,calc,"stone (calculate)",verb
Math,root,alg,"pain (algebra - originally setting bones)",noun
Math,root,arithm,number,noun
Math,root,prob,"prove (probability)",noun
Math,root,vect,"carry (vector)",noun
Geography,root,iso,"equal: isobar; isotherm; isocline",adjective
Geography,root,nimb,"rain: nimbus; cumulonimbus",noun
Geography,root,therm,"heat: thermal; geothermal; thermometer",noun
Geography,root,circ,"ring, around: circumference; circular; circulate",noun
Geography,root,eco,"environment: ecology; ecosystem; ecocline",noun
Geography,root,halo,"salt: halite; halogens; halocline",noun
Geography,prefix,micro,"small: microclimate; microwave",""
Geography,prefix,trans,"across: transfer; transpiration",""
Geography,root,crust,"shell: crust; encrusted; crustal",noun
Geography,prefix,epi,"upon, above: epicenter; epicycle",""
Geography,root,flu,"flowing: fluid; fluctuate; magnetic flux",verb
Geography,root,fluc,"flowing: fluid; fluctuate; magnetic flux",verb
Geography,root,glaci,"ice: glacier; glacial; glaze",noun
Geography,root,grav,"heavy: gravity; gravitate",noun
Geography,root,ign,"fire: igneous; ignite; ignition",noun
Geography,root,litho,"stone: lithosphere; lithify; lithograph",noun
Geography,root,lum,"light: illuminate; luminous; bioluminescence",noun
Geography,root,magn,"great: magnitude; magnify",adjective
Geography,root,meta,"change: metamorphic; metabolism; metamorphosis",noun
Geography,root,morph,"form: morphology; metamorphic; polymorph",noun
Geography,root,ob,"against: oblique; obscure; obtuse",verb
Geography,root,petr,"rock: petrify; petroleum; petrology",noun
Geography,root,seismo,"earthquake: seismology; seismograph; seismic wave",noun
Geography,root,strati,"layer: stratify; stratosphere; stratum",noun
Geography,root,sub,"under: subduction; submarine; subterranean",adjective
Geography,root,tecto,"building: tectonic; architect",noun
Geography,root,terr,"land: terrain; territory; terrestrial",noun
Geography,root,volv,"roll: revolve; involve; evolve",verb
Geography,root,zo,"animal: zoology; zoogeography; zootoxin",noun
